Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
original price,discount,special price,,,,
499,0.6,199,,,,
599,0.78,130,,"BY USING A CHART NAMED ""BOX and WHISKER""   we  find the outliers ",,
499,0.5,249,,,,
399,0.69,120,,,,
398,0.68,124,,IT has a box which shows the maximum number of values or percentage of the prices and there are two lines above and below  which shows that maximum and minimum prices  the cross sign in the box shows the mean or average and the line in the box shows the median .,,
599,0.79,120,,,,
489,0.74,125,,,,
499,0.72,135,,,,
499,0.75,121,,,,
499,0.74,125,,,,
299,0.56,130,,,,
499,0.74,128,,," BY USING A CHART NAMED "" HISTOGRAM"" WE SHOW THE DISTRIBUTION ",
405,0.67,130,,,,
499,0.44,279,,,,
499,0.71,140,,,HISTOGRAM is mainly used for ditribution of data ,
799,0.84,126,,,,
422,0.71,120,,,,
449,0.6,179,,,,
399,0.53,186,,,,
399,0.53,185,,,,
399,0.59,160,,,,
399,0.7,119,,,,
235,0.4,139,,499,499,520.3375
299,0.6,118,,,,
599,0.75,149,,,,
663,0.82,118,,,,
399,0.69,123,,,,
349,0.63,126,,,,
999,0.5,499,,,,
499,0.75,121,,,,
299,0.61,115,,,,
499,0.71,140,,,,
399,0.64,140,,,,
489,0.71,140,,,,
599,0.79,123,,,,
549,0.76,127,,,,
299,0.39,180,,,,
399,0.67,130,,,,
499,0.48,258,,,,
599,0.79,125,,,,
999,0.87,125,,,,
499,0.48,258,,,,
299,0.39,180,,,,
549,0.76,127,,,,
599,0.79,125,,,,
399,0.67,130,,,,
499,0.62,189,,,,
199,0.33,132,,,,
499,0.75,123,,,,
489,0.66,165,,,,
399,0.35,256,,,,
904,0.78,196,,,,
599,0.79,125,,,,
350,0.64,126,,,,
799,0.52,381,,,,
299,0.61,114,,,,
249,0.51,120,,,,
499,0.68,399,,,,
449,0.33,299,,,,
499,0.72,139,,,,
599,0.62,226,,,,
589,0.78,125,,,,
408,0.71,118,,,,
398,0.7,118,,,,
499,0.7,149,,,,
270,0.51,132,,,,
249,0.52,119,,,,
489,0.69,149,,,,
229,0.47,120,,,,
399,0.59,160,,,,
499,0.72,135,,,,
699,0.81,127,,,,
499,0.75,122,,,,
339,0.66,115,,,,
399,0.7,118,,,,
499,0.75,122,,,,
399,0.68,125,,,,
250,0.52,120,,,,
599,0.8,117,,,,
399,0.66,134,,,,
599,0.77,135,,,,
799,0.81,146,,,,
432,0.68,135,,,,
499,0.76,119,,,,
153,0.26,112,,,,
999,0.85,146,,,,
799,0.5,399,,,,
499,0.61,191,,,,
499,0.75,124,,,,
299,0.46,161,,,,
599,0.79,125,,,,
376,0.67,121,,,,
299,0.36,189,,,,
599,0.63,220,,,,
499,0.4,297,,,,
419,0.68,133,,,,
399,0.56,174,,,,
598,0.76,139,,,,
299,0.41,175,,,,
499,0.74,125,,,,
398,0.68,124,,,,
313,0.61,120,,,,
399,0.53,185,,,,
599,0.78,126,,,,
1000,0.83,167,,,,
499,0.68,135,,,,
999,0.7,299,,,,
299,0.58,125,,,,
499,0.7,145,,,,
492,0.69,152,,,,
399,0.67,130,,,,
599,0.78,130,,,,
499,0.68,135,,,,
899,0.83,146,,,,
499,0.6,199,,,,
499,0.66,169,,,,
498,0.74,128,,,,
599,0.71,169,,,,
499,0.75,120,,,,
500,0.6,199,,,,
489,0.74,123,,,,
399,0.68,127,,,,
1200,0.88,140,,,,
499,0.73,130,,,,
1099,0.56,483,,,,
299,0.39,180,,,,
299,0.16,250,,,,
499,0.72,136,,,,
399,0.57,170,,,,
249,0.49,125,,,,
499,0.76,115,,,,
399,0.68,127,,,,
299,0.56,130,,,,
499,0.74,129,,,,
599,0.76,140,,,,
399,0.58,165,,,,
499,0.6,196,,,,
599,0.79,120,,,,
499,0.72,138,,,,
599,0.73,160,,,,
499,0.74,125,,,,
499,0.74,125,,,,
499,0.75,122,,,,
799,0.78,173,,,,
489,0.74,123,,,,
598,0.79,121,,,,
849,0.65,294,,,,
399,0.59,160,,,,
499,0.72,135,,,,
299,0.38,183,,,,
349,0.47,182,,,,
599,0.78,126,,,,
399,0.69,123,,,,
298,0.57,127,,,,
280,0.44,155,,,,
305,0.6,119,,,,
399,0.6,158,,,,
247,0.51,119,,,,
450,0.7,131,,,,
439,0.72,119,,,,
599,0.78,126,,,,
399,0.68,126,,,,
298,0.58,123,,,,
499,0.74,126,,,,
499,0.75,123,,,,
389,0.58,161,,,,
445,0.32,299,,,,
399,0.65,137,,,,
499,0.75,122,,,,
599,0.79,125,,,,
499,0.74,129,,,,
499,0.76,119,,,,
800,0.51,390,,,,
251,0.52,118,,,,
499,0.57,210,,,,
425,0.71,122,,,,
399,0.64,142,,,,
849,0.82,145,,,,
384,0.63,140,,,,
599,0.78,129,,,,
299,0.57,126,,,,
499,0.74,126,,,,
1200,0.88,133,,,,
599,0.79,125,,,,
799,0.78,174,,,,
299,0.54,135,,,,
1999,0.7,599,,,,
449,0.67,145,,,,
499,0.72,139,,,,
1200,0.89,125,,,,
295,0.56,127,,,,
550,0.5,275,,,,
399,0.68,126,,,,
599,0.78,128,,,,
1399,0.9,129,,,,
399,0.68,127,,,,
499,0.74,128,,,,
349,0.53,163,,,,
788,0.83,132,,,,
449,0.68,140,,,,
749,0.82,130,,,,
494,0.73,129,,,,
499,0.68,155,,,,
349,0.31,239,,,,
999,0.87,129,,,,
799,0.83,128,,,,
766,0.83,128,,,,
399,0.68,126,,,,
499,0.72,139,,,,
499,0.67,160,,,,
499,0.72,135,,,,
419,0.7,124,,,,
499,0.74,127,,,,
499,0.73,132,,,,
199,0.36,127,,,,
399,0.64,140,,,,
350,0.65,120,,,,
499,0.75,122,,,,
400,0.61,153,,,,
386,0.67,125,,,,
599,0.78,130,,,,
449,0.44,249,,,,
1500,0.91,125,,,,
489,0.73,128,,,,
399,0.63,147,,,,
349,0.37,219,,,,
599,0.79,125,,,,
699,0.83,118,,,,
442,0.71,127,,,,
499,0.72,135,,,,
499,0.74,126,,,,
499,0.74,125,,,,
499,0.75,122,,,,
890,0.83,144,,,,
499,0.72,135,,,,
399,0.69,122,,,,
190,0.28,135,,,,
1599,0.53,749,,,,
1033,0.86,139,,,,
599,0.78,127,,,,
699,0.71,199,,,,
349,0.65,122,,,,
399,0.6,157,,,,
599,0.81,113,,,,
599,0.79,125,,,,
349,0.45,189,,,,
599,0.71,169,,,,
299,0.38,185,,,,
489,0.61,189,,,,
299,0.61,115,,,,
499,0.73,134,,,,
200,0.25,149,,,,
789,0.65,270,,,,
499,0.74,125,,,,
1000,0.85,143,,,,
499,0.68,159,,,,
999,0.7,299,,,,
200,0.32,135,,,,
595,0.76,137,,,,
599,0.5,299,,,,
499,0.74,129,,,,
449,0.72,125,,,,
425,0.35,275,,,,
499,0.7,145,,,,
299,0.6,119,,,,
489,0.7,145,,,,
599,0.78,126,,,,
299,0.58,124,,,,
625,0.52,298,,,,
625,0.8,122,,,,
499,0.71,141,,,,
419,0.31,289,,,,
499,0.72,135,,,,
399,0.68,125,,,,
489,0.61,189,,,,
449,0.39,271,,,,
399,0.68,127,,,,
596,0.78,126,,,,
499,0.73,130,,,,
499,0.73,130,,,,
599,0.78,126,,,,
299,0.44,166,,,,
349,0.42,199,,,,
499,0.69,150,,,,
299,0.57,127,,,,
449,0.6,178,,,,
499,0.72,135,,,,
649,0.77,145,,,,
320,0.62,121,,,,
366,0.63,134,,,,
399,0.66,134,,,,
499,0.69,150,,,,
499,0.52,237,,,,
499,0.74,126,,,,
499,0.72,139,,,,
299,0.42,171,,,,
300,0.62,113,,,,
346,0.52,165,,,,
489,0.67,158,,,,
599,0.79,120,,,,
399,0.65,136,,,,
499,0.68,155,,,,
199,0.36,126,,,,
599,0.77,135,,,,
499,0.74,127,,,,
499,0.74,127,,,,
699,0.82,125,,,,
499,0.67,163,,,,
399,0.67,128,,,,
499,0.72,139,,,,
499,0.68,155,,,,
2999,0.9,288,,,,
498,0.63,180,,,,
299,0.48,155,,,,
299,0.52,143,,,,
570,0.76,135,,,,
599,0.78,129,,,,
599,0.66,199,,,,
399,0.69,120,,,,
659,0.31,449,,,,
499,0.72,139,,,,
659,0.31,449,,,,
294,0.61,113,,,,
399,0.68,126,,,,
399,0.62,148,,,,
379,0.64,134,,,,
549,0.46,296,,,,
399,0.68,126,,,,
1599,0.71,452,,,,
359,0.63,130,,,,
499,0.75,122,,,,
499,0.72,135,,,,
299,0.58,125,,,,
363,0.66,120,,,,
399,0.5,199,,,,
699,0.82,120,,,,
499,0.75,121,,,,
549,0.75,135,,,,
999,0.85,149,,,,
399,0.7,118,,,,
599,0.79,122,,,,
599,0.8,115,,,,
418,0.73,109,,,,
599,0.79,122,,,,
590,0.72,162,,,,
598,0.76,138,,,,
399,0.65,136,,,,
799,0.5,399,,,,
259,0.23,199,,,,
599,0.78,127,,,,
499,0.51,242,,,,
599,0.78,128,,,,
599,0.77,134,,,,
599,0.78,126,,,,
349,0.42,199,,,,
299,0.43,170,,,,
299,0.52,142,,,,
600,0.79,121,,,,
595,0.76,137,,,,
349,0.42,199,,,,
421,0.59,171,,,,
495,0.39,299,,,,
599,0.71,169,,,,
1533,0.73,399,,,,
399,0.37,249,,,,
349,0.63,129,,,,
499,0.73,134,,,,
499,0.3,349,,,,
399,0.68,125,,,,
449,0.26,329,,,,
499,0.75,123,,,,
449,0.39,271,,,,
449,0.33,299,,,,
449,0.33,299,,,,
396,0.55,177,,,,
789,0.66,268,,,,
299,0.54,135,,,,
499,0.66,165,,,,
555,0.4,329,,,,
449,0.26,329,,,,
399,0.66,133,,,,
419,0.31,289,,,,
595,0.49,299,,,,
449,0.33,299,,,,
449,0.6,179,,,,
349,0.42,199,,,,
425,0.35,275,,,,
499,0.5,249,,,,
449,0.33,299,,,,
999,0.62,379,,,,
399,0.5,199,,,,
349,0.42,199,,,,
625,0.52,298,,,,
349,0.42,199,,,,
599,0.5,299,,,,
699,0.58,290,,,,
599,0.61,229,,,,
349,0.42,199,,,,
999,0.6,399,,,,
699,0.6,279,,,,
