name,original price,special price,discount,plant size,return policy,type,life cycle,location,feng shui,plant age,hybride,brand
"Aquinnah Graden Pistachio Plant  (Hybrid, Pack of 1)",489.00, ₹145.00 ,70%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Aquinnah Graden
"sspykrts Clove Plant  (Hybrid, Pack of 3)",599.00, ₹126.00 ,78%,Small,No Returns Allowed?,Tree,Annual,Both,No,1.00,Yes,sspykrts
"Ukanda Bay Leaf Plant  (Hybrid, Pack of 1)",299.00, ₹124.00 ,58%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,1.00,Yes,Ukanda
"Green view Coconut Plant  (Hybrid, Pack of 1)",625.00, ₹298.00 ,52%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
PLANTTOOZS Red Sandalwood Plant  (Pack of 1),625.00, ₹122.00 ,80%,Small,No Returns Allowed?,Shrub,Annual,Both,No,1.00,No,PLANTTOOZS
"Aquinnah Banana Plant  (Hybrid, Pack of 1)",499.00, ₹141.00 ,71%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Aquinnah
"Green view Coconut Plant  (Hybrid, Pack of 1)",419.00, ₹289.00 ,31%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
"Cloud Farm Grapes Plant  (Hybrid, Pack of 2)",499.00, ₹135.00 ,72%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Cloud Farm
"Global Mart Plant Cannon Ball Tree Plant  (Hybrid, Pack of 1)",399.00, ₹125.00 ,68%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Global Mart Plant
"AloGardening Adenium Plant  (Hybrid, Pack of 2)",489.00, ₹189.00 ,61%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,AloGardening
"Green view Coconut Plant  (Hybrid, Pack of 1)",449.00, ₹271.00 ,39%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
Ukaanda Money Plant  (Pack of 1),399.00, ₹127.00 ,68%,Small,No Returns Allowed?,Foliage,Annual,Both,Yes,1.00,No,Ukaanda
"greenhousestore Christmas Tree Plant  (Hybrid, Pack of 1)",596.00, ₹126.00 ,78%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,greenhousestore
"Cloud Farm Money Plant  (Hybrid, Pack of 1)",499.00, ₹130.00 ,73%,Medium,No Returns Allowed?,Air purifier plant,Perennial,Indoor,No,1.00,Yes,Cloud Farm
"Phoolistan Ficus Plant  (Hybrid, Pack of 1)",499.00, ₹130.00 ,73%,Small,No Returns Allowed?,Bonsai,Annual,Indoor,No,1.00,Yes,Phoolistan
"greenhousestore Litchi Plant  (Hybrid, Pack of 1)",599.00, ₹126.00 ,78%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"PB HONEY PRIYA PLaNTS Bluebell barleria Plant  (Hybrid, Pack of 1)",299.00, ₹166.00 ,44%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,PB HONEY PRIYA PLaNTS
UGAOO Golden Sedum Plant  (Pack of 1),349.00, ₹199.00 ,42%,Small,No Returns Allowed?,Shrub,Annual,Indoor,No,1.00,No,UGAOO
"GLOBQRO Begonia Vanusta Plant  (Hybrid, Pack of 1)",499.00, ₹150.00 ,69%,Small,No Returns Allowed?,Flower,Perennial,Both,Yes,1.00,Yes,GLOBQRO
greengrow Shami/Jand Plant  (Pack of 1),299.00, ₹127.00 ,57%,Small,No Returns Allowed?,Foliage,Annual,Both,Yes,1.00,No,greengrow
"AloGardening Basmati Plant  (Hybrid, Pack of 1)",449.00, ₹178.00 ,60%,Small,No Returns Allowed?,Herb,Perennial,Both,No,1.00,Yes,AloGardening
"Cloud Farm Bougainvillea Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,72%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,Cloud Farm
"YourPlant Adenium Plant  (Hybrid, Pack of 2)",649.00, ₹145.00 ,77%,Small,No Returns Allowed?,Bonsai,Annual,Both,No,1.00,Yes,YourPlant
"PLANTGENIC NATURE White Sandalwood Plant  (Hybrid, Pack of 1)",320.00, ₹121.00 ,62%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,15.00,Yes,PLANTGENIC NATURE
GreenHorizon Bryophyllum Pinnatum/Patharchatta Plant  (Pack of 1),366.00, ₹134.00 ,63%,Small,No Returns Allowed?,Herb,Perennial,Both,No,0.00,No,GreenHorizon
"greenhousestore Curry Leaf Plant  (Hybrid, Pack of 1)",399.00, ₹134.00 ,66%,Medium,No Returns Allowed?,Herb,Perennial,Both,Yes,1.00,Yes,greenhousestore
"Cloud Farm Coconut Plant  (Hybrid, Pack of 1)",499.00, ₹150.00 ,69%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Cloud Farm
"ibains Mini Brazalian wood  (Hybrid, Pack of 1)",499.00, ₹237.00 ,52%,Large,No Returns Allowed?,Bonsai,Annual,Indoor,Yes,1.00,Yes,ibains
"Natural needs Adenium Plant  (Hybrid, Pack of 1)",499.00, ₹126.00 ,74%,Medium,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,Natural needs
"LaughEarth Bougainvillea Plant  (Hybrid, Pack of 1)",499.00, ₹139.00 ,72%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,LaughEarth
"LaughEarth Hibiscus Plant  (Hybrid, Pack of 1)",299.00, ₹171.00 ,42%,Medium,No Returns Allowed?,Flower,Perennial,Both,Yes,1.00,Yes,LaughEarth
"LivePlant Money Plant  (Hybrid, Pack of 1)",300.00, ₹113.00 ,62%,Small,No Returns Allowed?,Foliage,Perennial,Indoor,Yes,1.00,Yes,LivePlant
Leafyjoy Brazilian Wood  (Pack of 1),346.00, ₹165.00 ,52%,Medium,No Returns Allowed?,Air purifier plant,Annual,Indoor,Yes,3.00,No,Leafyjoy
"AquinnahGaden Brahma Kamal Plant  (Hybrid, Pack of 1)",489.00, ₹158.00 ,67%,Medium,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,AquinnahGaden
"greenhousestore Orange Plant  (Hybrid, Pack of 1)",599.00, ₹120.00 ,79%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Cloud Farm Dragon Tree  (Hybrid, Pack of 5)",399.00, ₹136.00 ,65%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Cloud Farm
"KAVARI ENTERPRISE Rose Plant  (Hybrid, Pack of 1)",499.00, ₹155.00 ,68%,Small,No Returns Allowed?,Flower,Annual,Both,No,1.00,Yes,KAVARI ENTERPRISE
"Cloud Farm Chiku Plant  (Hybrid, Pack of 1)",199.00, ₹126.00 ,36%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Cloud Farm
"greenhousestore Adenium Plant  (Hybrid, Pack of 1)",599.00, ₹135.00 ,77%,Small,No Returns Allowed?,Bonsai,Annual,Both,Yes,1.00,Yes,greenhousestore
"Cloud Farm Betel Leaf Plant  (Hybrid, Pack of 1)",499.00, ₹127.00 ,74%,Medium,No Returns Allowed?,Herb,Perennial,Both,No,1.00,Yes,Cloud Farm
"Risenshine Adenium Plant  (Hybrid, Pack of 1)",499.00, ₹127.00 ,74%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Risenshine
"TAWZIX Money Plant  (Hybrid, Pack of 1)",699.00, ₹125.00 ,82%,Small,No Returns Allowed?,Bonsai,Annual,Indoor,Yes,2.00,Yes,TAWZIX
"EarthAngel Snake Plant  (Hybrid, Pack of 1)",499.00, ₹163.00 ,67%,Small,No Returns Allowed?,Foliage,Annual,Both,Yes,0.50,Yes,EarthAngel
"Aziz Gazi Nursery Dragon Tree  (Hybrid, Pack of 1)",399.00, ₹128.00 ,67%,Small,No Returns Allowed?,Fruit,Biennial,Indoor,Yes,1.00,Yes,Aziz Gazi Nursery
"Medhi Snake Plant  (Hybrid, Pack of 1)",499.00, ₹139.00 ,72%,Small,No Returns Allowed?,Foliage,Perennial,Both,Yes,1.00,Yes,Medhi
"greenhousestore Ficus Bonsai  (Hybrid, Pack of 1)",499.00, ₹155.00 ,68%,Small,No Returns Allowed?,Bonsai,Annual,Both,Yes,1.00,Yes,greenhousestore
"Saeedia plant hub Acanthocerous Tetragonous Mons Variegated Fairy Castle Plant  (Hybrid, Pack of 1)",2999.00, ₹288.00 ,90%,Small,No Returns Allowed?,Bamboo,Annual,Both,No,1.00,Yes,Saeedia plant hub
"AGRAWBIC Two Layer Bamboo Plant  (Hybrid, Pack of 1)",498.00, ₹180.00 ,63%,Small,No Returns Allowed?,Bamboo,Perennial,Both,Yes,1.00,Yes,AGRAWBIC
Broken heart plant Broken Heart Plant  (Pack of 1),299.00, ₹155.00 ,48%,Small,No Returns Allowed?,Tree,Annual,Both,No,1.00,No,Broken heart plant
"Plant Paradise Rudraksha Plant  (Hybrid, Pack of 1)",299.00, ₹143.00 ,52%,Medium,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Plant Paradise
"Gardanglow Marsh Barbel Plant  (Hybrid, Pack of 1)",570.00, ₹135.00 ,76%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,Gardanglow
"greenhousestore Baugainvillea Plant  (Hybrid, Pack of 1)",599.00, ₹129.00 ,78%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,greenhousestore
"Flora Solutions Money Plant  (Hybrid, Pack of 2)",599.00, ₹199.00 ,66%,Small,No Returns Allowed?,Bamboo,Annual,Both,Yes,3.00,Yes,Flora Solutions
"HouseOfCommon Orange Plant  (Hybrid, Pack of 1)",399.00, ₹120.00 ,69%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,2.00,Yes,HouseOfCommon
"Real Nature Three Layer Bamboo Plant  (Hybrid, Pack of 1)",659.00, ₹449.00 ,31%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,1.00,Yes,Real Nature
"greenhousestore Star Fruit Carambola Grafted Plant  (Hybrid, Pack of 1)",499.00, ₹139.00 ,72%,Medium,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"Real Nature Three Layer Bamboo Plant  (Hybrid, Pack of 1)",659.00, ₹449.00 ,31%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,1.00,Yes,Real Nature
"PB honey priya plant Bottle Gourd  (Hybrid, Pack of 35)",294.00, ₹113.00 ,61%,Small,No Returns Allowed?,Vegetable,Perennial,Both,No,1.00,Yes,PB honey priya plant
"Oxygreenplant Shahtoot/Mulberry Plant  (Hybrid, Pack of 1)",399.00, ₹126.00 ,68%,Small,No Returns Allowed?,Fruit,Perennial,Both,Yes,1.00,Yes,Oxygreenplant
"Ukanda Canna Lily Plant  (Hybrid, Pack of 1)",399.00, ₹148.00 ,62%,Small,No Returns Allowed?,Flower,Biennial,Indoor,Yes,0.50,Yes,Ukanda
"LaughEarth Hibiscus Plant  (Hybrid, Pack of 3)",379.00, ₹134.00 ,64%,Medium,No Returns Allowed?,Flower,Perennial,Outdoor,No,1.00,Yes,LaughEarth
"Real Nature Lucky Bamboo Plant  (Hybrid, Pack of 1)",549.00, ₹296.00 ,46%,Small,No Returns Allowed?,Bamboo,Perennial,Indoor,Yes,1.00,Yes,Real Nature
"greenhousestore Mint Plant  (Hybrid, Pack of 1)",399.00, ₹126.00 ,68%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,0.60,Yes,greenhousestore
"JESAA GREENS Money Plant, Bamboo Palm Plant  (Pack of 2)",1599.00, ₹452.00 ,71%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,No,2.00,No,JESAA GREENS
"GREENSEE Orchid Plant  (Hybrid, Pack of 4)",359.00, ₹130.00 ,63%,Medium,No Returns Allowed?,Flower,Biennial,Both,No,0.30,Yes,GREENSEE
"Cloud Farm Betal Leaf Plant  (Hybrid, Pack of 1)",499.00, ₹122.00 ,75%,Small,No Returns Allowed?,Herb,Perennial,Both,No,1.00,Yes,Cloud Farm
"Aquinnah Betel Leaf Plant  (Hybrid, Pack of 1)",499.00, ₹135.00 ,72%,Small,No Returns Allowed?,Herb,Annual,Both,Yes,1.00,Yes,Aquinnah
"THE BHOWMICK Mango Plant  (Hybrid, Pack of 1)",299.00, ₹125.00 ,58%,Small,No Returns Allowed?,Fruit,Perennial,Both,Yes,1.00,Yes,THE BHOWMICK
"K.K.Enterprise Lemon Plant  (Hybrid, Pack of 1)",363.00, ₹120.00 ,66%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,K.K.Enterprise
"Zomoloco Adenium Plant  (Hybrid, Pack of 1)",399.00, ₹199.00 ,50%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Zomoloco
"Gaingreen Chiku Plant  (Hybrid, Pack of 1)",699.00, ₹120.00 ,82%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Gaingreen
Kyari Money Plant  (Pack of 1),499.00, ₹121.00 ,75%,Small,No Returns Allowed?,Foliage,Biennial,Indoor,No,1.00,No,Kyari
"saraswati traders ZZ Plant  (Hybrid, Pack of 1)",549.00, ₹135.00 ,75%,Small,No Returns Allowed?,Fruit,Biennial,Both,Yes,1.00,Yes,saraswati traders
"GROSSAMER Lotus Plant, Syngonium Bronze Maria Plant  (Pack of 40)",999.00, ₹149.00 ,85%,Medium,No Returns Allowed?,Flower,Annual,Both,No,1.00,No,GROSSAMER
"PlantShop Orange Plant  (Hybrid, Pack of 1)",399.00, ₹118.00 ,70%,Medium,No Returns Allowed?,Fruit,Annual,Both,No,1.00,Yes,PlantShop
"Grinian Aloe Vera Plant  (Hybrid, Pack of 1)",599.00, ₹122.00 ,79%,Small,No Returns Allowed?,Herb,Annual,Both,No,1.00,Yes,Grinian
"greenhousestore Avocado Plant  (Hybrid, Pack of 1)",599.00, ₹115.00 ,80%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"FSK Hibiscus Plant  (Hybrid, Pack of 1)",418.00, ₹109.00 ,73%,Small,No Returns Allowed?,Flower,Annual,Both,No,1.00,Yes,FSK
"greenhousestore Rose Plant  (Hybrid, Pack of 1)",599.00, ₹122.00 ,79%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,greenhousestore
"Tha live root vishnu kamal Furkeria Succulent Plant  (Hybrid, Pack of 1)",590.00, ₹162.00 ,72%,Small,No Returns Allowed?,Succulent,Annual,Both,Yes,1.00,Yes,Tha live root vishnu kamal
"greenhousestore Rose Plant  (Hybrid, Pack of 3)",598.00, ₹138.00 ,76%,Small,No Returns Allowed?,Flower,Annual,Both,Yes,1.00,Yes,greenhousestore
"AloGardening Serissa Hedge Plant  (Hybrid, Pack of 1)",399.00, ₹136.00 ,65%,Small,No Returns Allowed?,Herb,Perennial,Both,No,1.00,Yes,AloGardening
"Hug A Plant Cocoa Plant  (Hybrid, Pack of 1)",799.00, ₹399.00 ,50%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Hug A Plant
"My Dream Nursery Kiwi Plant  (Hybrid, Pack of 1)",259.00, ₹199.00 ,23%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,My Dream Nursery
"greenhousestore Chiku Plant  (Hybrid, Pack of 1)",599.00, ₹127.00 ,78%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
"NiMoj Two Layer Bamboo Plant, Lucky Bamboo Straight Stick, Veld Grape Plant  (Hybrid, Pack of 1)",499.00, ₹242.00 ,51%,Small,No Returns Allowed?,Bamboo,Annual,Both,Yes,10.00,Yes,NiMoj
"ATIKNAM Mini Brazalian wood  (Hybrid, Pack of 1)",599.00, ₹128.00 ,78%,Medium,No Returns Allowed?,Flower,Annual,Indoor,No,1.00,Yes,ATIKNAM
"L BRAZILIAN LUCKY WOOD PLANT Basil Plant  (Hybrid, Pack of 1)",599.00, ₹134.00 ,77%,Small,No Returns Allowed?,Air purifier plant,Perennial,Indoor,No,1.00,Yes,L BRAZILIAN LUCKY WOOD PLANT
"greenhousestore Kiwi Plant  (Hybrid, Pack of 1)",599.00, ₹126.00 ,78%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,greenhousestore
UGAOO Christmas Cactus Plant  (Pack of 1),349.00, ₹199.00 ,42%,Small,No Returns Allowed?,Shrub,Annual,Indoor,No,1.00,No,UGAOO
"GeenLk Golden Money Plant  (Hybrid, Pack of 1)",299.00, ₹170.00 ,43%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,12.00,Yes,GeenLk
"Elanthalir Table Palm Plant  (Hybrid, Pack of 1)",299.00, ₹142.00 ,52%,Small,No Returns Allowed?,Bonsai,Perennial,Both,No,1.00,Yes,Elanthalir
"Samarthgreens Strawberry Plant  (Hybrid, Pack of 1)",600.00, ₹121.00 ,79%,Small,No Returns Allowed?,Fruit,Annual,Both,Yes,1.00,Yes,Samarthgreens
"SKDIYA Cherry Fruit Plant  (Hybrid, Pack of 1)",595.00, ₹137.00 ,76%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,SKDIYA
UGAOO Golden Aralia Plant  (Pack of 1),349.00, ₹199.00 ,42%,Small,No Returns Allowed?,Shrub,Annual,Indoor,No,1.00,No,UGAOO
"GHF Two Layer Bamboo Plant  (Hybrid, Pack of 1)",421.00, ₹171.00 ,59%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,12.00,Yes,GHF
"UGAOO Jade Plant  (Hybrid, Pack of 1)",495.00, ₹299.00 ,39%,Small,No Returns Allowed?,Succulent,Annual,Indoor,Yes,1.00,Yes,UGAOO
"bhowmick Areca Palm  (Hybrid, Pack of 1)",599.00, ₹169.00 ,71%,Medium,No Returns Allowed?,Tree,Perennial,Both,No,1.00,Yes,bhowmick
Nursery Hub Jade Plant  (Pack of 6),1533.00, ₹399.00 ,73%,Small,No Returns Allowed?,Flower,Annual,Both,No,1.00,No,Nursery Hub
UGAOO Two Layer Bamboo Plant  (Pack of 1),399.00, ₹249.00 ,37%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,1.00,No,UGAOO
"AloGardening Guava Plant  (Hybrid, Pack of 1)",349.00, ₹129.00 ,63%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,AloGardening
"bhowmick Baugainvillea Plant  (Hybrid, Pack of 1)",499.00, ₹134.00 ,73%,Medium,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,bhowmick
UGAOO Three Layer Bamboo Plant  (Pack of 1),499.00, ₹349.00 ,30%,Small,No Returns Allowed?,Bamboo,Biennial,Indoor,Yes,1.00,No,UGAOO
"EVY Tuberose/Rajnigandha Plant  (Hybrid, Pack of 1)",399.00, ₹125.00 ,68%,Small,No Returns Allowed?,Herb,Annual,Both,No,1.00,Yes,EVY
UGAOO Philodendron Micans Plant  (Pack of 1),449.00, ₹329.00 ,26%,Small,No Returns Allowed?,Foliage,Biennial,Indoor,No,1.00,No,UGAOO
"LaughEarth Parijat/Harsingar Plant  (Hybrid, Pack of 1)",499.00, ₹123.00 ,75%,Small,No Returns Allowed?,Herb,Annual,Both,No,1.00,Yes,LaughEarth
"Green view Coconut Plant  (Hybrid, Pack of 1)",449.00, ₹271.00 ,39%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
UGAOO Philodendron Brasil Plant  (Pack of 1),449.00, ₹299.00 ,33%,Small,No Returns Allowed?,Foliage,Annual,Indoor,No,1.00,No,UGAOO
UGAOO Philodendron Brasil Plant  (Pack of 1),449.00, ₹299.00 ,33%,Small,No Returns Allowed?,Foliage,Annual,Indoor,No,1.00,No,UGAOO
"Unisam Laxmi Lakshmi Kamal Laxmi Kamal Plant  (Hybrid, Pack of 1)",396.00, ₹177.00 ,55%,Small,No Returns Allowed?,Succulent,Perennial,Both,Yes,1.00,Yes,Unisam Laxmi Lakshmi Kamal
"AloGardening Adenium Plant  (Hybrid, Pack of 6)",789.00, ₹268.00 ,66%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,AloGardening
"Heaven Of Saplings Bacopa Monnieri  (Hybrid, Pack of 1)",299.00, ₹135.00 ,54%,Small,No Returns Allowed?,Herb,Perennial,Both,Yes,0.60,Yes,Heaven Of Saplings
"Cloud Farm Hibiscus Plant  (Hybrid, Pack of 4)",499.00, ₹165.00 ,66%,Small,No Returns Allowed?,Flower,Perennial,Both,No,1.00,Yes,Cloud Farm
UGAOO Philodendron Brasil Plant  (Pack of 1),555.00, ₹329.00 ,40%,Small,No Returns Allowed?,Foliage,Biennial,Indoor,No,1.00,No,UGAOO
UGAOO Philodendron Plant  (Pack of 1),449.00, ₹329.00 ,26%,Small,No Returns Allowed?,Foliage,Biennial,Indoor,No,1.00,No,UGAOO
"AloGardening Dragon Tree  (Hybrid, Pack of 3)",399.00, ₹133.00 ,66%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,AloGardening
"Green view Coconut Plant  (Hybrid, Pack of 1)",419.00, ₹289.00 ,31%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
UGAOO Green Philodendron Oxycardium Plant  (Pack of 1),595.00, ₹299.00 ,49%,Small,No Returns Allowed?,Foliage,Biennial,Indoor,No,1.00,No,UGAOO
UGAOO Green Philodendron Oxycardium Plant  (Pack of 1),449.00, ₹299.00 ,33%,Small,No Returns Allowed?,Foliage,Biennial,Indoor,No,1.00,No,UGAOO
"HARIGURU All Spice Plant  (Hybrid, Pack of 1)",449.00, ₹179.00 ,60%,Medium,No Returns Allowed?,Herb,Annual,Both,No,0.50,Yes,HARIGURU
UGAOO Njoy Money Plant  (Pack of 1),349.00, ₹199.00 ,42%,Small,No Returns Allowed?,Creepers and Climbers,Annual,Indoor,No,1.00,No,UGAOO
"Green view Coconut Plant  (Hybrid, Pack of 1)",425.00, ₹275.00 ,35%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
UGAOO Snake Plant  (Pack of 1),499.00, ₹249.00 ,50%,Small,No Returns Allowed?,Shrub,Annual,Indoor,No,1.00,No,UGAOO
UGAOO Green Philodendron Oxycardium Plant  (Pack of 1),449.00, ₹299.00 ,33%,Small,No Returns Allowed?,Foliage,Biennial,Indoor,No,1.00,No,UGAOO
"plantsNpetals Three Layer Bamboo Plant  (Hybrid, Pack of 1)",999.00, ₹379.00 ,62%,Medium,No Returns Allowed?,Bamboo,Annual,Both,Yes,2.00,Yes,plantsNpetals
UGAOO Syngonium Plant  (Pack of 1),399.00, ₹199.00 ,50%,Small,No Returns Allowed?,Foliage,Annual,Indoor,Yes,1.00,No,UGAOO
UGAOO Broken Heart Plant  (Pack of 1),349.00, ₹199.00 ,42%,Small,No Returns Allowed?,Foliage,Annual,Indoor,No,1.00,No,UGAOO
"Green view Coconut Plant  (Hybrid, Pack of 1)",625.00, ₹298.00 ,52%,Small,No Returns Allowed?,Fruit,Perennial,Both,No,1.00,Yes,Green view
UGAOO Jade Plant  (Pack of 1),349.00, ₹199.00 ,42%,Small,No Returns Allowed?,Succulent,Annual,Indoor,No,1.00,No,UGAOO
TAYAN Bamboo Palm Plant  (Pack of 1),599.00, ₹299.00 ,50%,Small,No Returns Allowed?,Shrub,Annual,Indoor,No,1.00,No,TAYAN
Real Nature Two Layer Bamboo Plant  (Pack of 1),699.00, ₹290.00 ,58%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,6.00,No,Real Nature
"GIRISHA TRADERS Two Layer Bamboo Plant, Lucky Bamboo Straight Stick, Dracaena Plant  (Pack of 1)",599.00, ₹229.00 ,61%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,2.00,No,GIRISHA TRADERS
UGAOO Peace Lily Plant  (Pack of 1),349.00, ₹199.00 ,42%,Small,No Returns Allowed?,Succulent,Annual,Indoor,No,1.00,No,UGAOO
"plantsNpetals Two Layer Bamboo Plant  (Hybrid, Pack of 1)",999.00, ₹399.00 ,60%,Medium,No Returns Allowed?,Bamboo,Annual,Both,Yes,2.00,Yes,plantsNpetals
"RJGUDDU Mini Brazalian wood  (Hybrid, Pack of 1)",699.00, ₹279.00 ,60%,Small,No Returns Allowed?,Bamboo,Annual,Indoor,Yes,2.00,Yes,RJGUDDU
